,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
371,Costic Borsavage,"Borsavage, Costic",1950,Y,76209,HISTADD_ike_borsavage,0,,,,0,,1950
372,Vince Boryla,"Boryla, Vince",1949,Y,76210,HISTADD_moose_boryla,0,,,,0,,1953
373,Chris Bosh,"Bosh, Chris",2003,Y,2547,chris_bosh,1,MIA,Miami,heat,1610612748,Heat,2016
374,Jim Bostic,"Bostic, Jim",1977,Y,76211,HISTADD_jim_bostic,0,,,,0,,1977
375,Lawrence Boston,"Boston, Lawrence",1979,Y,76212,HISTADD_larry_boston,0,,,,0,,1979
376,Tom Boswell,"Boswell, Tom",1975,Y,76213,HISTADD_tom_boswell,0,,,,0,,1983
377,Chris Boucher,"Boucher, Chris",2017,Y,1628449,chris_boucher,0,,,,0,,2017
378,Ruben Boumtje-Boumtje,"Boumtje-Boumtje, Ruben",2001,Y,2257,ruben_boumtje-boumtje,0,,,,0,,2003
379,Don Boven,"Boven, Don",1949,Y,76214,HISTADD_don_boven,0,,,,0,,1952
380,Cal Bowdler,"Bowdler, Cal",1999,Y,1898,cal_bowdler,0,,,,0,,2001
381,Bruce Bowen,"Bowen, Bruce",1996,Y,1477,bruce_bowen,0,,,,0,,2008
382,Ryan Bowen,"Bowen, Ryan",1999,Y,1763,ryan_bowen,0,,,,0,,2009
383,Anthony Bowie,"Bowie, Anthony",1988,Y,194,anthony_bowie,0,,,,0,,1997
384,Sam Bowie,"Bowie, Sam",1984,Y,76217,HISTADD_sam_bowie,0,,,,0,,1994
385,Ira Bowman,"Bowman, Ira",1999,Y,1085,ira_bowman,0,,,,0,,2001
386,Nate Bowman,"Bowman, Nate",1966,Y,76219,HISTADD_nate_bowman,0,,,,0,,1970
387,Donnie Boyce,"Boyce, Donnie",1995,Y,671,donnie_boyce,0,,,,0,,1996
388,Dennis Boyd,"Boyd, Dennis",1978,Y,76221,HISTADD_dennis_boyd,0,,,,0,,1978
389,Fred Boyd,"Boyd, Fred",1972,Y,76222,HISTADD_freddie_boyd,0,,,,0,,1977
390,Ken Boyd,"Boyd, Ken",1974,Y,76223,HISTADD_kenny_boyd,0,,,,0,,1974
391,Earl Boykins,"Boykins, Earl",1998,Y,1863,earl_boykins,0,,,,0,,2011
392,Harry Boykoff,"Boykoff, Harry",1949,Y,76224,HISTADD_bighesh_boykoff,0,,,,0,,1950
393,Winford Boynes,"Boynes, Winford",1978,Y,76225,HISTADD_winford_boynes,0,,,,0,,1980
394,Cedric Bozeman,"Bozeman, Cedric",2006,Y,200841,cedric_bozeman,0,,,,0,,2006
395,Steve Bracey,"Bracey, Steve",1972,Y,76226,HISTADD_steve_bracey,0,,,,0,,1974
396,Craig Brackins,"Brackins, Craig",2010,Y,202342,craig_brackins,0,,,,0,,2011
397,Gary Bradds,"Bradds, Gary",1964,Y,76227,HISTADD_tex_bradds,0,,,,0,,1965
398,Alex Bradley,"Bradley, Alex",1981,Y,76228,HISTADD_alex_bradley,0,,,,0,,1981
399,Alonzo Bradley,"Bradley, Alonzo",1977,Y,76229,HISTADD_alonzo_bradley,0,,,,0,,1979
400,Avery Bradley,"Bradley, Avery",2010,Y,202340,avery_bradley,1,BOS,Boston,celtics,1610612738,Celtics,2017
401,Bill Bradley,"Bradley, Bill",1967,Y,76233,HISTADD_bill_bradley,0,,,,0,,1976
